,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
508,기아 스포티지 4세대 1.7 디젤 2WD 노블레스,차량번호 329소4963,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178325&gubun=K,2017.07 (18년형),"60,310 km",디젤,"1,685 cc (141마력)",흰색,만료,"1,550만원",62,0,0,1,1,0,1,0,1,0,0,등록,1,0,0,0,0,1,"588,093",1,"1,512,748"
509,현대 포터2 CRDi 슈퍼캡 초장축 SUP 일반형,차량번호 87수7446,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178454&gubun=K,2015.07 (16년형),"34,506 km",디젤,"2,497 cc ()",흰색,정보없음,"1,050만원",준비중,0,0,1,0,0,1,0,0,0,0,등록,0,0,0,0,0,0,0,0,0
510,쌍용 코란도 스포츠 2.0 디젤 4WD 익스트림,차량번호 82도3202,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179554&gubun=K,2016.05,"72,661 km",디젤,"1,998 cc (155마력)",갈색,정보없음,"1,420만원",준비중,0,0,1,0,0,1,0,1,0,1,등록,2,0,0,0,0,0,0,0,0
511,쌍용 코란도 스포츠 2.0 디젤 4WD CX7 패션,차량번호 87로7888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179561&gubun=K,2013.07 (14년형),"64,305 km",디젤,"1,998 cc (155마력)",진회색,정보없음,"1,240만원",준비중,1,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,2,"800,530",2,"1,779,840"
512,현대 뉴 투싼ix 2.0 디젤 2WD 모던,차량번호 68부4173,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179943&gubun=K,2015.05,"106,116 km",디젤,"1,995 cc (184마력)",진회색,만료,"1,160만원",44,0,1,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,1,"470,950",0,0
513,기아 더 뉴 K5 2.0 LPi  럭셔리,차량번호 360러6812,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179945&gubun=K,2018.07 (19년형),"74,239 km",LPG,"1,999 cc (151마력)",흰색,"60개월 / 100,000km","1,460만원",76,0,0,1,0,0,1,0,1,0,1,등록,1,0,0,0,0,2,"1,904,839",0,0
514,현대 포터2 CRDi 슈퍼캡 초장축 SUP 일반형,차량번호 96고9840,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179984&gubun=K,2015.09 (16년형),"279,499 km",디젤,"2,497 cc ()",흰색,정보없음,760만원,준비중,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,0,0,1,"293,670"
515,현대 포터2 슈퍼캡 냉동탑차,차량번호 837버5485,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182820&gubun=K,2014.04 (15년형),"412,286 km",디젤,"2,497 cc ()",노란색,만료,400만원,준비중,,,,,,,,,,,등록,0,0,0,0,0,0,0,2,"905,766"
516,기아 올 뉴 K7 2.4 프레스티지,차량번호 24거0425,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182823&gubun=K,2016.09,"57,963 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,900만원",61,0,0,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,1,"219,270",0,0
517,기아 봉고3 내장 탑차,차량번호 96나0329,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182832&gubun=K,2010.11 (11년형),"183,894 km",디젤,"2,902 cc (126마력)",청색,만료,300만원,준비중,,,,,,,,,,,등록,7,0,0,0,0,1,"474,035",4,"2,458,606"
518,현대 그랜저HG 240 모던,차량번호 51소6529,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182013&gubun=K,2014.05,"97,297 km",가솔린,"2,359 cc (201마력)",검정색,만료,"1,180만원",39,0,0,1,1,0,1,0,1,0,1,등록,0,0,0,0,0,0,0,1,"262,500"
519,기아 스포티지R 2.0 가솔린 2WD TLX 최고급형,차량번호 51부3464,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182027&gubun=K,2012.06,"99,665 km",가솔린,"1,998 cc (166마력)",남색,만료,980만원,준비중,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
520,현대 싼타페TM 2.0 디젤 2WD 익스클루시브,차량번호 52가8958,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180295&gubun=K,2018.07 (19년형),"41,224 km",디젤,"1,995 cc (186마력)",흰색,"60개월 / 100,000km","2,560만원",79,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,1,"686,870",1,"396,250"
521,제네시스 G80 3.3 AWD 럭셔리,차량번호 377고2245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2149566&gubun=K,2018.06,"45,690 km",가솔린,"3,342 cc (282마력)",검정색,"60개월 / 100,000km","3,140만원",65,0,0,1,1,1,1,0,1,1,1,등록,1,0,0,0,0,0,0,0,0
522,현대 코나 1.6 가솔린 터보 2WD 모던 아트,차량번호 61더8661,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2164799&gubun=K,2019.04,"27,233 km",가솔린,"1,591 cc (177마력)",흰색,"60개월 / 100,000km","2,020만원",92,0,0,1,1,0,1,0,1,0,1,등록,3,0,0,0,0,0,0,0,0
523,현대 더 뉴 그랜드스타렉스 2.5 디젤 캠핑카 2WD,차량번호 76루2733,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173848&gubun=K,2020.06 (21년형),"11,331 km",디젤,"2,497 cc (175마력)",흰색,정보없음,"4,260만원",준비중,0,0,1,0,0,1,0,1,0,1,등록,2,0,0,0,0,0,0,0,0
524,기아 더 뉴 K7 2.4 프레스티지,차량번호 22조9804,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177276&gubun=K,2014.12 (15년형),"60,016 km",가솔린,"2,359 cc (201마력)",검정색,만료,"1,440만원",48,1,1,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,0,0,0,0
525,쌍용 렉스턴 스포츠 2.2 디젤 4WD 노블레스,차량번호 83거0330,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177854&gubun=K,2018.02,"82,523 km",디젤,"2,157 cc (181마력)",진회색,정보없음,"2,140만원",66,1,0,1,1,0,1,0,1,0,1,등록,2,0,0,0,0,1,"656,478",1,0
526,기아 더 뉴 카니발 2.2 디젤 9인승 프레스티지,차량번호 207라3896,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177859&gubun=K,2018.08 (19년형),"42,812 km",디젤,"2,199 cc (202마력)",진회색,"60개월 / 100,000km","2,540만원",73,0,0,1,1,1,1,0,1,0,0,등록,3,0,0,0,0,0,0,0,0
527,현대 그랜저HG 240 럭셔리,차량번호 56보3794,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177882&gubun=K,2012.09,"57,203 km",가솔린,"2,359 cc (201마력)",검정색,만료,960만원,32,0,0,1,0,0,1,0,1,0,1,등록,2,0,0,0,0,2,"1,240,203",3,"1,845,639"
528,현대 포터2 CRDi 슈퍼캡 초장축 스마트,차량번호 82노1992,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177938&gubun=K,2020.08,"47,262 km",디젤,"2,497 cc ()",흰색,정보없음,"1,750만원",준비중,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,0,0,0,0
529,기아 봉고3 CRDi 킹캡 초장축 노블레스,차량번호 81주7477,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178021&gubun=K,2016.10 (17년형),"67,037 km",디젤,"2,497 cc ()",흰색,정보없음,"1,350만원",준비중,0,0,1,0,0,1,0,0,0,1,등록,2,0,0,0,0,0,0,4,"4,578,360"
530,기아 스포티지 4세대 1.7 디젤 2WD 노블레스,차량번호 329소4963,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178325&gubun=K,2017.07 (18년형),"60,310 km",디젤,"1,685 cc (141마력)",흰색,만료,"1,550만원",62,0,0,1,1,0,1,0,1,0,0,등록,1,0,0,0,0,1,"588,093",1,"1,512,748"
531,현대 포터2 CRDi 슈퍼캡 초장축 SUP 일반형,차량번호 87수7446,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178454&gubun=K,2015.07 (16년형),"34,506 km",디젤,"2,497 cc ()",흰색,정보없음,"1,050만원",준비중,0,0,1,0,0,1,0,0,0,0,등록,0,0,0,0,0,0,0,0,0
532,쌍용 코란도 스포츠 2.0 디젤 4WD 익스트림,차량번호 82도3202,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179554&gubun=K,2016.05,"72,661 km",디젤,"1,998 cc (155마력)",갈색,정보없음,"1,420만원",준비중,0,0,1,0,0,1,0,1,0,1,등록,2,0,0,0,0,0,0,0,0
533,쌍용 코란도 스포츠 2.0 디젤 4WD CX7 패션,차량번호 87로7888,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179561&gubun=K,2013.07 (14년형),"64,305 km",디젤,"1,998 cc (155마력)",진회색,정보없음,"1,240만원",준비중,1,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,2,"800,530",2,"1,779,840"
534,현대 뉴 투싼ix 2.0 디젤 2WD 모던,차량번호 68부4173,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179943&gubun=K,2015.05,"106,116 km",디젤,"1,995 cc (184마력)",진회색,만료,"1,160만원",44,0,1,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,1,"470,950",0,0
535,기아 더 뉴 K5 2.0 LPi  럭셔리,차량번호 360러6812,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179945&gubun=K,2018.07 (19년형),"74,239 km",LPG,"1,999 cc (151마력)",흰색,"60개월 / 100,000km","1,460만원",76,0,0,1,0,0,1,0,1,0,1,등록,1,0,0,0,0,2,"1,904,839",0,0
536,현대 포터2 CRDi 슈퍼캡 초장축 SUP 일반형,차량번호 96고9840,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179984&gubun=K,2015.09 (16년형),"279,499 km",디젤,"2,497 cc ()",흰색,정보없음,760만원,준비중,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,0,0,1,"293,670"
537,현대 포터2 슈퍼캡 냉동탑차,차량번호 837버5485,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182820&gubun=K,2014.04 (15년형),"412,286 km",디젤,"2,497 cc ()",노란색,만료,400만원,준비중,,,,,,,,,,,등록,0,0,0,0,0,0,0,2,"905,766"
538,기아 올 뉴 K7 2.4 프레스티지,차량번호 24거0425,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182823&gubun=K,2016.09,"57,963 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,900만원",61,0,0,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,1,"219,270",0,0
539,기아 봉고3 내장 탑차,차량번호 96나0329,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182832&gubun=K,2010.11 (11년형),"183,894 km",디젤,"2,902 cc (126마력)",청색,만료,300만원,준비중,,,,,,,,,,,등록,7,0,0,0,0,1,"474,035",4,"2,458,606"
540,현대 그랜저HG 240 모던,차량번호 51소6529,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182013&gubun=K,2014.05,"97,297 km",가솔린,"2,359 cc (201마력)",검정색,만료,"1,180만원",39,0,0,1,1,0,1,0,1,0,1,등록,0,0,0,0,0,0,0,1,"262,500"
541,기아 스포티지R 2.0 가솔린 2WD TLX 최고급형,차량번호 51부3464,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182027&gubun=K,2012.06,"99,665 km",가솔린,"1,998 cc (166마력)",남색,만료,980만원,준비중,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
542,기아 더 뉴 모닝 1.0 럭셔리,차량번호 09루0232,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181727&gubun=K,2016.11,"19,622 km",가솔린,998 cc (),은색,만료,780만원,65,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,0,0,0,0
543,현대 뉴 투싼ix 2.0 디젤 2WD 스마트 스페셜,차량번호 19주6868,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181708&gubun=K,2014.03,"49,037 km",디젤,"1,995 cc (184마력)",베이지색,만료,"1,260만원",52,1,1,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,2,"540,098",0,0
544,쌍용 티볼리 1.6 디젤 2WD LX,차량번호 55라7440,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181700&gubun=K,2015.09 (16년형),"31,543 km",디젤,"1,597 cc (115마력)",남색,만료,"1,260만원",51,0,0,1,0,0,1,0,1,0,1,등록,1,0,0,0,0,2,"1,198,100",0,0
545,기아 봉고3 냉동 탑차,차량번호 89모7096,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181467&gubun=K,2017.06 (18년형),"84,552 km",디젤,"2,497 cc ()",흰색,만료,"1,660만원",준비중,0,0,1,0,0,1,0,1,0,0,등록,0,0,0,0,0,0,0,1,"977,343"
546,현대 아반떼AD 1.6 스마트,차량번호 56부0229,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182177&gubun=K,2016.09 (17년형),"16,498 km",가솔린,"1,591 cc (132마력)",회색,만료,"1,380만원",75,0,0,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,0,0,0,0
547,제네시스 G90 1세대  3.8 AWD 럭셔리  ,차량번호 28누9750,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180105&gubun=K,2019.04,"77,000 km",가솔린,"3,778 cc (315마력)",검정색,불가,"3,990만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
548,기아 올 뉴 카니발  2.2 디젤 9인승 프레스티지  ,차량번호 02보0555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168304&gubun=K,2016.03,"130,000 km",디젤,"2,199 cc (202마력)",흰색,불가,"1,620만원",49,0,0,1,1,1,1,0,1,0,1,미등록,,,,,,,,,
549,현대 그랜저IG  2.4 프리미엄   ,차량번호 22어8705,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181902&gubun=K,2019.07,"14,983 km",가솔린,"2,359 cc (190마력)",흰색,불가,"2,390만원",73,,,,,,,,,,,미등록,,,,,,,,,
550,기아 카니발 4세대  3.5 가솔린 9인승 시그니처   ,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2171166&gubun=K,2023.00,8 km,가솔린,"3,470 cc (294마력)",검정색,"60개월 / 100,000km","8,800만원",준비중,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
551,기아 카니발 4세대  3.5 가솔린 9인승 시그니처   ,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173595&gubun=K,2023.00,11 km,가솔린,"3,470 cc (294마력)",흰색,"60개월 / 100,000km","8,910만원",준비중,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
552,기아 카니발 4세대  3.5 가솔린 9인승 시그니처   ,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179408&gubun=K,2023.00,10 km,가솔린,"3,470 cc (294마력)",검정색,"60개월 / 100,000km","9,250만원",준비중,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
553,르노삼성 SM6 2.0 LE,차량번호 15조0840,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181015&gubun=K,2016.03,"83,777 km",가솔린,"1,997 cc (150마력)",검정색,만료,"1,199만원",42,0,0,1,1,0,1,0,1,0,0,등록,1,0,0,0,0,1,"2,302,700",0,0
554,기아 더 뉴 레이  1 프레스티지   ,차량번호 137거4160,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2138737&gubun=K,2020.02,"7,000 km",가솔린,998 cc (76마력),흰색,"60개월 / 100,000km","1,350만원",91,0,0,1,0,0,1,0,1,0,1,미등록,,,,,,,,,
555,현대 그랜저IG  3.0 LPi  모범형   ,차량번호 14가6206,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2155629&gubun=K,2016.12 (17년형),"154,000 km",LPG,"2,999 cc (235마력)",은색,불가,"1,300만원",45,0,0,1,0,1,1,0,1,0,1,미등록,,,,,,,,,
556,기아 쏘렌토R  2.0 디젤 2WD TLX 고급형   ,차량번호 42고8372,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160005&gubun=K,2010.12 (11년형),"106,600 km",디젤,"1,995 cc (184마력)",은색,불가,950만원,35,0,1,1,1,0,1,0,1,0,0,미등록,,,,,,,,,
557,쉐보레 크루즈  1.8 LT 플러스 레더팩   ,차량번호 29너6582,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167138&gubun=K,2013.08 (14년형),"53,000 km",가솔린,"1,796 cc (142마력)",검정색,불가,700만원,36,0,0,1,0,0,1,0,1,0,0,미등록,,,,,,,,,
558,현대 포터2 CRDi 슈퍼캡 초장축 스마트,차량번호 94소3150,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2175520&gubun=K,2021.02,"24,563 km",디젤,"2,497 cc ()",흰색,정보없음,"2,070만원",준비중,0,0,1,0,0,1,0,1,0,0,등록,0,0,0,0,0,0,0,0,0
559,현대 포터2 CRDi 일반캡 초장축 스마트,차량번호 88마6113,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173823&gubun=K,2019.08,"46,641 km",디젤,"2,497 cc ()",청색,정보없음,"1,670만원",준비중,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,0,0,0,0
560,르노삼성 SM6 2.0 LE,차량번호 15조0840,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181015&gubun=K,2016.03,"83,777 km",가솔린,"1,997 cc (150마력)",검정색,만료,"1,199만원",42,0,0,1,1,0,1,0,1,0,0,등록,1,0,0,0,0,1,"2,302,700",0,0
561,기아 더 뉴 레이  1 프레스티지   ,차량번호 137거4160,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2138737&gubun=K,2020.02,"7,000 km",가솔린,998 cc (76마력),흰색,"60개월 / 100,000km","1,350만원",91,0,0,1,0,0,1,0,1,0,1,미등록,,,,,,,,,
562,현대 그랜저IG  3.0 LPi  모범형   ,차량번호 14가6206,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2155629&gubun=K,2016.12 (17년형),"154,000 km",LPG,"2,999 cc (235마력)",은색,불가,"1,300만원",45,0,0,1,0,1,1,0,1,0,1,미등록,,,,,,,,,
563,기아 쏘렌토R  2.0 디젤 2WD TLX 고급형   ,차량번호 42고8372,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160005&gubun=K,2010.12 (11년형),"106,600 km",디젤,"1,995 cc (184마력)",은색,불가,950만원,35,0,1,1,1,0,1,0,1,0,0,미등록,,,,,,,,,
564,쉐보레 크루즈  1.8 LT 플러스 레더팩   ,차량번호 29너6582,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167138&gubun=K,2013.08 (14년형),"53,000 km",가솔린,"1,796 cc (142마력)",검정색,불가,700만원,36,0,0,1,0,0,1,0,1,0,0,미등록,,,,,,,,,
565,현대 포터2 CRDi 슈퍼캡 초장축 스마트,차량번호 94소3150,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2175520&gubun=K,2021.02,"24,563 km",디젤,"2,497 cc ()",흰색,정보없음,"2,070만원",준비중,0,0,1,0,0,1,0,1,0,0,등록,0,0,0,0,0,0,0,0,0
566,현대 포터2 CRDi 일반캡 초장축 스마트,차량번호 88마6113,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173823&gubun=K,2019.08,"46,641 km",디젤,"2,497 cc ()",청색,정보없음,"1,670만원",준비중,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,0,0,0,0
567,기아 봉고3 CRDi 킹캡  초장축 디럭스,차량번호 92버6365,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2172287&gubun=K,2018.03,"98,697 km",디젤,"2,497 cc ()",흰색,정보없음,"1,480만원",준비중,0,0,1,0,0,1,0,0,0,0,등록,3,0,0,0,0,0,0,1,"838,590"
568,기아 더 뉴 봉고3 킹캡 초장축 L,차량번호 91오0815,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162989&gubun=K,2020.12,"19,558 km",디젤,"2,497 cc (133마력)",흰색,정보없음,"1,920만원",111,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,0,0,0,0
569,현대 포터2 CRDi 슈퍼캡 초장축 스타일,차량번호 94러0528,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156954&gubun=K,2017.01,"192,663 km",디젤,"2,497 cc ()",흰색,정보없음,"1,120만원",준비중,0,0,0,0,0,1,0,1,0,0,등록,3,0,0,0,0,0,0,2,"1,983,039"
570,기아 봉고3  킹캡 초장축 디럭스,차량번호 81주8837,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2148081&gubun=K,2015.04,"115,233 km",디젤,"2,497 cc (133마력)",흰색,정보없음,"1,200만원",준비중,0,0,1,0,0,1,0,0,0,0,등록,0,0,0,0,0,1,"1,186,070",0,0
571,현대 싼타페DM 2.0 디젤 4WD 익스클루시브 스페셜,차량번호 17무1286,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2141455&gubun=K,2013.01,"81,013 km",디젤,"1,995 cc (184마력)",은색,만료,"1,490만원",42,0,0,1,1,1,1,0,1,0,0,등록,0,0,0,0,0,1,"1,094,630",0,0
572,현대 싼타페 더 프라임 2.0 디젤 2WD  모던,차량번호 11어2225,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181956&gubun=K,2015.07 (16년형),"99,197 km",디젤,"1,995 cc (186마력)",남색,만료,"1,610만원",55,0,0,1,1,0,1,0,1,0,1,등록,2,0,0,0,0,0,0,0,0
573,현대 싼타페TM 2.0 디젤 2WD  익스클루시브,차량번호 57누7901,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182807&gubun=K,2019.01,"69,545 km",디젤,"1,995 cc (186마력)",은색,"60개월 / 100,000km","2,460만원",76,0,0,1,1,1,1,0,1,0,1,등록,3,0,0,0,0,2,"1,113,953",0,0
574,쌍용 티볼리 아머 1.6 가솔린 2WD  LX,차량번호 384두8629,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181953&gubun=K,2017.11 (18년형),"74,720 km",가솔린,"1,597 cc (126마력)",검정색,"60개월 / 100,000km","1,360만원",60,1,0,1,1,0,1,0,1,0,1,등록,2,0,0,0,0,0,0,0,0
575,제네시스 G80  3.3 터보 AWD 스포츠   ,차량번호 55우2324,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2172572&gubun=K,2018.09,"44,105 km",가솔린,"3,342 cc (370마력)",하늘색,불가,"4,390만원",61,0,1,1,1,1,1,1,1,1,1,등록,2,0,0,0,0,2,"1,379,358",0,0
576,현대 아반떼AD  1.6 밸류 플러스,차량번호 180러1261,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176320&gubun=K,2018.03,"119,106 km",가솔린,"1,591 cc (132마력)",흰색,"60개월 / 100,000km",890만원,52,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,3,"7,059,030",0,0
577,기아 올 뉴 모닝 1.0 밴  고급형,차량번호 170주5213,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180002&gubun=K,2018.10,"86,735 km",가솔린,998 cc (),흰색,"60개월 / 100,000km",590만원,60,0,0,0,0,0,0,0,0,0,0,등록,1,0,0,0,0,0,0,0,0
578,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 프리미엄,차량번호 89루9536,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182640&gubun=K,2011.03,"176,097 km",디젤,"2,497 cc (174마력)",은색,만료,820만원,37,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,4,"3,456,468",0,0
579,기아 더 뉴 봉고3 내장 탑차 1톤 LPi 표준형,차량번호 81고5973,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168208&gubun=K,2020.07,"5,835 km",LPG,"2,359 cc ()",흰색,정보없음,"1,750만원",준비중,0,0,1,0,0,1,0,1,0,0,등록,0,0,0,0,0,0,0,0,0
580,현대 포터2 CRDi 슈퍼캡  초장축 하이-SUP 기본형,차량번호 81버3946,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182639&gubun=K,2013.06 (14년형),"159,096 km",디젤,"2,497 cc ()",흰색,정보없음,680만원,준비중,0,0,1,0,0,0,0,0,0,0,등록,2,0,0,0,0,0,0,1,"903,380"
581,기아 더 프레스티지 K7 2.4  프레스티지,차량번호 53다8672,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182012&gubun=K,2012.06,"135,708 km",가솔린,"2,359 cc (201마력)",회색,만료,670만원,21,0,0,1,1,1,1,0,1,0,1,등록,3,0,0,0,0,1,"800,000",3,"3,058,742"
582,현대 YF쏘나타 2.0 VVT  Y20 프리미어 최고급형,차량번호 29버9638,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180194&gubun=K,2010.08,"135,269 km",가솔린,"1,998 cc (165마력)",흰색,만료,520만원,20,1,1,1,1,0,1,0,1,0,1,등록,8,0,0,0,0,3,"1,764,816",1,"404,070"
583,르노삼성 클리오 1.5 dCi  인텐스,차량번호 22조6909,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169752&gubun=K,2018.09,"98,591 km",디젤,"1,461 cc (90마력)",진회색,"60개월 / 100,000km",990만원,43,0,0,1,0,1,1,1,1,0,1,등록,2,0,0,0,0,0,0,1,"638,986"
584,쉐보레 스파크 1.0 밴 ,차량번호 57노2571,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2172902&gubun=K,2014.04,"83,275 km",LPG,995 cc (70마력),흰색,만료,350만원,준비중,0,0,0,0,0,0,0,0,0,0,등록,4,0,0,0,0,3,"5,391,200",5,"2,190,142"
